iter	Passed	Remaining
0	0	63
1	1	57
2	1	57
3	2	55
4	2	53
5	3	53
6	4	53
7	4	52
8	5	51
9	5	51
10	6	50
11	6	50
12	7	49
13	7	49
14	8	48
15	9	48
16	9	47
17	10	47
18	11	47
19	11	46
20	12	46
21	12	45
22	13	45
23	14	44
24	14	43
25	15	43
26	15	42
27	16	42
28	16	41
29	17	41
30	18	40
31	18	39
32	19	39
33	19	38
34	20	37
35	21	37
36	21	36
37	22	36
38	22	35
39	23	35
40	24	34
41	24	33
42	25	33
43	25	32
44	26	32
45	26	31
46	27	31
47	28	30
48	28	30
49	29	29
50	30	28
51	30	28
52	31	27
53	31	27
54	32	26
55	32	25
56	33	25
57	34	24
58	34	24
59	35	23
60	35	22
61	36	22
62	37	21
63	37	21
64	38	20
65	38	20
66	39	19
67	40	18
68	40	18
69	41	17
70	42	17
71	42	16
72	43	16
73	43	15
74	44	14
75	45	14
76	45	13
77	46	13
78	46	12
79	47	11
80	47	11
81	48	10
82	48	10
83	49	9
84	50	8
85	50	8
86	51	7
87	52	7
88	52	6
89	53	5
90	54	5
91	55	4
92	55	4
93	56	3
94	57	3
95	58	2
96	59	1
97	60	1
98	60	0
99	61	0
